Voltage_Percent,k_rad_per_s_per,Tm_s,ke_V_s_per_rad,km_N_m_per_A
-50,-0.185684733118003,0.0664314358726233,-0.484692513427073,-0.313582923784482
-45,-0.184584702463665,0.0629552445280842,-0.487581033524249,-0.328937689473143
-40,-0.182614256688894,0.0647850814251061,-0.492842134189588,-0.316234696361097
-35,-0.180025222438748,0.0650875952974899,-0.499929947486229,-0.310302287019
-30,-0.177273007310781,0.0609769829328873,-0.5076915056911,-0.326156867126039
-25,-0.174860601774104,0.08034224502935,-0.514695700957657,-0.244173119836428
-20,-0.168754570516923,0.0610340738493376,-0.53331888863404,-0.310193742071843
-15,-0.15869904527862,0.0642254533615415,-0.567111162149663,-0.277215163547558
-10,-0.138627891621118,0.0649013435866132,-0.649220001455245,-0.239633084162999
10,0.143100879996426,0.0847457333551471,0.628926950010706,0.189441144588858
15,0.161153009331587,0.0594791220424015,0.558475453690206,0.30396509627568
20,0.17299608691205,0.0786086394373925,0.520242981251681,0.246897019356837
25,0.178216002252576,0.0626590527385243,0.505005155891938,0.319089651073571
30,0.182032169979707,0.0634921193638402,0.494418102086203,0.321646010507682
35,0.185272199434541,0.0731224832331552,0.485771747054787,0.284255693700747
40,0.187208370356081,0.0645885154851031,0.480747734883941,0.325176990107359
45,0.19013091817965,0.08366358792735,0.473358046453871,0.254956510740632
50,0.191889596207172,0.086170248506662,0.469019695590127,0.249829621718635
